article_id,label,category,published_at,title
81408,MEDIUM,경제,2026-09-02T17:37:00,"커지는 기후재난에 선진국들 발행 늘리는 ‘재해채권’, 한국은 ‘0’"
81434,HIGH,세계,2026-09-02T17:31:56,"혁명수비대 ""美 통제하 불법 경로 운항 유조선, 기뢰밭서 폭발"""
81409,HIGH,사회,2026-09-02T17:31:33,"법원, 홈플러스 회생계획안 인가…공익채권자 75.9% 동의(종합)"
81435,MEDIUM,세계,2026-09-02T17:30:40,"푸틴 ""러일 관계 악화는 일본 책임""…日 ""우크라이나 침공 탓""(종합)"
81410,LOW,사회,2026-09-02T17:29:57,"국토부 대광위원장, 전주 기린대로 간선급행버스체계 현장 점검"
81411,HIGH,사회,2026-09-02T17:27:43,"부산시, 예인선 전복 사고수습본부 가동…""구조에 총력"""
81444,HIGH,IT/과학,2026-09-02T17:26:32,"홈플러스 회생안, 채권자 75.9% 동의로 가결…법원 즉시 인가"
81403,MEDIUM,경제,2026-09-02T17:24:48,"대법 정면 반박한 하급심 ""사소한 시정명령으로 분양계약 해제 안돼"""
81431,MEDIUM,연예/문화,2026-09-02T17:24:11,"광주비엔날레, 전남광주시 이어 '대만 파빌리온' 논란 사과"
81412,LOW,사회,2026-09-02T17:23:10,성균관대학교 자연과학캠퍼스 실험실서 불…인명피해 없어
81436,MEDIUM,세계,2026-09-02T17:23:01,이스탄불 앞바다서 유조선과 충돌한 화물선 침몰
81413,HIGH,사회,2026-09-02T17:22:54,[영상] 부산 오륙도 앞바다 예인선 전복…1명 사망·6명 실종
81437,MEDIUM,세계,2026-09-02T17:22:50,日민단에 면도칼 든 우편물…극우 소행 추정
81414,MEDIUM,사회,2026-09-02T17:22:24,"""햄버거 사줄게"" 초등생 유인하려 한 성범죄 전력 50대"
81415,HIGH,사회,2026-09-02T17:22:16,"검찰, 박성주 전 국수본부장 기소…장윤기 부실수사 지휘 혐의(종합)"
81432,LOW,연예/문화,2026-09-02T17:21:37,"울산 장생포 웨일즈 카트, 9월 토요일·추석 연휴 야간 운행"
81404,MEDIUM,경제,2026-09-02T17:21:32,신약 호재 내부 정보로 부당이득…코스닥 IR임원 수사기관 통보
81445,LOW,IT/과학,2026-09-02T17:20:00,경기장 바로 위 '여객기 저공비행'…5만6000명 열광했지만 “대형 참사” 우려
81442,MEDIUM,세계,2026-09-02T17:19:00,"6년째 옥살이 홍콩 민주화 운동가 조슈아 웡, ‘외국과의 공모’ 혐의 인정"
81398,MEDIUM,정치,2026-09-02T17:18:06,"한동훈, 국민의힘 향해 ""싸우는 정당 아닌 이기는 정당 돼야"""
81405,LOW,경제,2026-09-02T17:17:09,[부고] 문정교(현대해상화재보험 상무)씨 부친상
81406,LOW,경제,2026-09-02T17:15:05,"고양시, 공공기관 혁신 본격화…'자생력 확보·협업' 과제 제시"
81438,HIGH,세계,2026-09-02T17:14:59,G20 재무장관회의서 中겨냥 의장성명 채택…美中회담 샅바싸움(종합)
81416,LOW,사회,2026-09-02T17:14:51,"축구공 50개에 담은 평화 메시지, 케냐로 향한 나눔의 의미"
81429,HIGH,사회,2026-09-02T17:13:00,"9월 모평, 국어·수학은 6월보다 어렵고 영어는 쉬웠다"
